Portal,Órgão ou Entidade,Noticias
https://www.gov.br/abc/pt-br,Agência Brasileira de Cooperação,https://www.gov.br/abc/pt-br/assuntos/noticias
https://www.gov.br/abcd/pt-br,Autoridade Brasileira de Controle de Dopagem,https://www.gov.br/abcd/pt-br/noticias
https://www.gov.br/abin/pt-br,Agência Brasileira de Inteligência,https://www.gov.br/abin/pt-br/centrais-de-conteudo/noticias
https://www.gov.br/acessoainformacao/pt-br,Controladoria-Geral da União,https://www.gov.br/acessoainformacao/pt-br/noticias
https://www.gov.br/aeb/pt-br,Agência Espacial Brasileira,https://www.gov.br/aeb/pt-br/assuntos/noticias
https://www.gov.br/agricultura/pt-br,Ministério da Agricultura e Pecuária,https://www.gov.br/agricultura/pt-br/campanhas/g20-agro-2024/noticias-da-g20-2
https://www.gov.br/agu/pt-br,AGU - ADVOCACIA GERAL DA UNIÃO,https://www.gov.br/agu/pt-br/comunicacao/noticias
https://www.gov.br/aids/pt-br,Ministério da Saúde,https://www.gov.br/aids/pt-br/assuntos/noticias
https://www.gov.br/ana/pt-br,ANA - AGÊNCIA NACIONAL DE ÁGUAS E SANEAMENTO BÁSICO,https://www.gov.br/ana/pt-br/assuntos/noticias-e-eventos/noticias
https://www.gov.br/anac/pt-br,ANAC - AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,https://www.gov.br/anac/pt-br/noticias/ultimas-noticias-1
https://www.gov.br/anatel/pt-br,ANATEL - AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,https://www.gov.br/anatel/pt-br/assuntos/noticias
https://www.gov.br/ancine/pt-br,Agência Nacional do Cinema,https://www.gov.br/ancine/pt-br/assuntos/noticias
https://www.gov.br/aneel/pt-br,ANEEL - AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA,https://www.gov.br/aneel/pt-br/assuntos/noticias
https://www.gov.br/anm/pt-br,ANM - AGÊNCIA NACIONAL DE MINERAÇÃO,https://www.gov.br/anm/pt-br/assuntos/disponibilidade-de-areas/noticias
https://www.gov.br/anp/pt-br,"ANP - AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS",https://www.gov.br/anp/pt-br/canais_atendimento/imprensa/noticias-comunicados
https://www.gov.br/anpd/pt-br,Autoridade Nacional de Proteção de Dados,https://www.gov.br/anpd/pt-br/assuntos/noticias
https://www.gov.br/ans/pt-br,ANS - AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR,https://www.gov.br/ans/pt-br/assuntos/noticias
https://www.gov.br/antaq/pt-br,ANTAQ - AGÊNCIA NACIONAL DE TRANSPORTES AQUVIÁRIOS,https://www.gov.br/antaq/pt-br/noticias
https://www.gov.br/antt/pt-br,ANTT - AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,https://www.gov.br/antt/pt-br/assuntos/ultimas-noticias
https://www.gov.br/anvisa/pt-br,ANVISA - AGÊNCIA NACIONAL DE VIGILÂNCIA SANITÁRIA,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa
https://www.gov.br/arquivonacional/pt-br,Ministério da Gestão e da Inovação em Serviços Públicos,https://www.gov.br/arquivonacional/pt-br/sites_eventos/mow/noticias
https://www.gov.br/bn/pt-br,Ministério da Cultura,https://www.gov.br/bn/pt-br/central-de-conteudos/noticias
https://www.gov.br/cade/pt-br,Ministério da Justiça e Segurança Pública,https://www.gov.br/cade/pt-br/assuntos/noticias
https://www.gov.br/capes/pt-br,Ministério da Educação,https://www.gov.br/capes/pt-br/assuntos/noticias
https://www.gov.br/casacivil/pt-br,Casa Civil da Presidência da República,https://www.gov.br/casacivil/pt-br/assuntos/noticias
https://www.gov.br/casaruibarbosa/pt-br,Ministério da Cultura,https://www.gov.br/casaruibarbosa/pt-br/centrais-de-conteudo/noticias
https://www.gov.br/caslode/pt-br,Ministério da Defesa,https://www.gov.br/caslode/pt-br/noticias
https://www.gov.br/cbpf/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/cbpf/pt-br/assuntos/noticias
https://www.gov.br/cbtu/pt-br,Companhia Brasileira de Trens Urbanos,https://www.gov.br/cbtu/pt-br/assuntos/noticias
https://www.gov.br/cdtn/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/cdtn/pt-br/centrais-de-conteudo/noticias
https://www.gov.br/cemaden/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/cemaden/pt-br/assuntos/10-anos-cemaden/noticias
https://www.gov.br/censipam/pt-br,Ministério da Defesa,https://www.gov.br/censipam/pt-br/central-de-conteudos/noticias
https://www.gov.br/cetem/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/cetem/pt-br/noticias
https://www.gov.br/cetene/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/cetene/pt-br/assuntos/noticias
https://www.gov.br/cgu/pt-br,Controladoria-Geral da União,https://www.gov.br/cgu/pt-br/assuntos/noticias
https://www.gov.br/cidades/pt-br,Ministério das Cidades,https://www.gov.br/cidades/pt-br/assuntos/noticias-1
https://www.gov.br/cisc/pt-br,Ministério da Gestão e da Inovação em Serviços Públicos,https://www.gov.br/pt-br/noticias
https://www.gov.br/cnen/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/cnen/pt-br/assunto/ultimas-noticias
https://www.gov.br/cnpq/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/cnpq/pt-br/assuntos/noticias
https://www.gov.br/coaf/pt-br,Banco Central do Brasil,https://www.gov.br/coaf/pt-br/assuntos/noticias
https://www.gov.br/compras/pt-br,Ministério da Gestão e da Inovação em Serviços Públicos,https://www.gov.br/compras/pt-br/acesso-a-informacao/noticias
https://www.gov.br/conarq/pt-br,Ministério da Gestão e da Inovação em Serviços Públicos,https://www.gov.br/conarq/pt-br/assuntos/noticias
